,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
355,Cabedelo,75,BR,1567630661,88,-6.97,-34.84,77.0,6.93
356,Yar-Sale,46,RU,1567631197,94,66.83,70.83,46.67,6.73
357,Sai Buri,62,TH,1567631198,94,6.7,101.62,73.13,1.41
358,Sovetskiy,0,RU,1567631200,87,56.76,48.47,48.83,4.23
359,Huangmei,88,CN,1567631201,93,30.1,115.95,68.09,1.39
360,Umm Lajj,100,SA,1567631202,62,25.02,37.27,86.27,13.31
361,Gbadolite,100,CD,1567631203,96,4.28,21.0,70.25,3.33
362,Movileni,0,MD,1567631205,82,47.65,27.39,60.01,5.82
363,San Jose de Guanipa,100,VE,1567631206,73,8.89,-64.17,83.57,7.85
364,Husavik,67,CA,1567631207,36,50.56,-96.99,75.99,5.99
365,Vao,58,EE,1567631209,96,59.1,26.19,51.89,6.8
366,Mananjary,72,MG,1567631210,69,-19.16,46.8,61.97,5.39
367,Hirara,100,JP,1567631211,81,24.8,125.28,82.13,50.89
368,Shingu,100,JP,1567630566,96,33.72,135.99,67.19,6.33
369,Ranfurly,31,CA,1567631214,55,53.41,-111.68,72.23,3.58
370,Namibe,71,AO,1567631215,83,-15.19,12.15,64.31,5.55
371,Acajutla,100,SV,1567630660,65,13.59,-89.83,85.19,5.23
